"title","abstract","authors","link","date","subject","source","initial_decision","q0","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","extraction_date","expert_decision","ID","o1"
"<U+8B77><U+7406><U+4EBA><U+54E1><U+7167><U+8B77><U+65B0><U+578B><U+51A0><U+72C0><U+75C5><U+6BD2><U+611F><U+67D3><U+75C5><U+60A3><U+5FC3><U+9748><U+8A18><U+4E8B>-<U+67D0><U+4E2D><U+53F0><U+7063><U+91AB><U+9662><U+7684>2<U+4F8B><U+7D93><U+9A57>","<U+672C><U+6587><U+662F><U+70BA><U+7167><U+8B77><U+5169><U+4F4D><U+65B0><U+578B><U+51A0><U+72C0><U+75C5><U+6BD2><U+75BE><U+75C5>Coronavirus disease 2019(COVID-19)<U+611F><U+67D3><U+500B><U+6848><U+5165><U+4F4F><U+8CA0><U+58D3><U+9694><U+96E2><U+75C5><U+623F><U+5F8C>,<U+75C5><U+4EBA><U+6240><U+9762><U+81E8><U+8EAB><U+9AD4><U+3001><U+5FC3><U+7406><U+3001><U+8207><U+793E><U+6703><U+7B49><U+5404><U+65B9><U+9762><U+6539><U+8B8A><U+6240><U+5F15><U+767C><U+7684><U+8B77><U+7406><U+554F><U+984C><U+3002><U+7B46><U+8005><U+85C9><U+7531><U+81E8><U+5E8A><U+89C0><U+5BDF><U+53CA><U+96FB><U+8A71><U+8A2A><U+8AC7><U+8490><U+96C6><U+8CC7><U+6599>,<U+63D0><U+4F9B><U+5408><U+5B9C>,<U+500B><U+5225><U+8B77><U+7406><U+63AA><U+65BD>,<U+5305><U+542B><U+9F13><U+52F5><U+500B><U+6848><U+60C5><U+7DD2><U+6292><U+767C><U+8207><U+8010><U+5FC3><U+50BE><U+807D><U+5FC3><U+4E2D><U+611F><U+53D7>,<U+9069><U+6642><U+63D0><U+4F9B><U+9069><U+7576><U+7684><U+5FC3><U+7406><U+652F><U+6301><U+3002><U+5229><U+7528><U+97F3><U+6A02><U+7D13><U+58D3>,<U+5F15><U+5C0E><U+500B><U+6848><U+4EE5><U+6B63><U+5411><U+614B><U+5EA6><U+9762><U+5C0D><U+6B64><U+6B21><U+75BE><U+75C5>,<U+540C><U+6642><U+5354><U+52A9><U+500B><U+6848><U+5728><U+51FA><U+9662><U+5F8C><U+6062><U+5FA9><U+6B63><U+5E38><U+751F><U+6D3B>,<U+5E0C><U+671B><U+6B64><U+5831><U+544A><U+80FD><U+63D0><U+4F9B><U+8B77><U+7406><U+4EBA><U+54E1><U+5728><U+7167><U+9867><U+985E><U+4F3C><U+500B><U+6848><U+4E4B><U+53C3><U+8003><U+3002> We reported our nursing experience about caring two cases for Coronavirus disease 2019 (COVID-19) infected diseases patients, mainly focused on the mental health care. Patients admitted in the negative pressure isolation ward might having care needs in physical, mental, and social dimensions. According to our clinical observation and telephone interviews with patients, we suggested personalized nursing cares by listening, music relaxation, and emotional expression might be the suitable methods to lead patients to release their acute stress status.","<U+674E><U+5468><U+71D5>; <U+51CC><U+6B63><U+83EF>; <U+5289><U+7FCE><U+73B2>; <U+8449><U+9E97><U+6708>; <U+6D2A><U+5F18><U+660C>","https://www.google.com/search?q=<U+8B77><U+7406><U+4EBA><U+54E1><U+7167><U+8B77><U+65B0><U+578B><U+51A0><U+72C0><U+75C5><U+6BD2><U+611F><U+67D3><U+75C5><U+60A3><U+5FC3><U+9748><U+8A18><U+4E8B>-<U+67D0><U+4E2D><U+53F0><U+7063><U+91AB><U+9662><U+7684>2<U+4F8B><U+7D93><U+9A57>","2020","","WHO","Undecided","","","","","","","","","","","","","FALSE","2020-04-20","",388,""
"When basic supplies are missing, what to do? Specific demands of the local street population in times of coronavirus - a concern of social psychiatry.","Homeless experts and some federal housing officials are sounding the alarm that the patchwork of government efforts to address the coronavirus outbreak risks leaving out one group of acutely vulnerable people: the homeless. In terms of isolation, it is too unclear what that looks like if you normally sleep on the streets. In this tough moment, when people should be turned away, not only it feels inhumane, but it is also a big public health risk, because where are they going to go? The studies we","Neto, de Souza, Quezado, MendonÃ§a, de AraÃºjo, Luz, de Santana, Sampaio, Carvalho, Arrais, Landim, da Silva","https://doi.org/10.1016/j.psychres.2020.112939","20200418","2019 coronavirus disease (COVID-19); Homeless; Social psychiatry","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-20","",389,""
"Multidisciplinary research priorities for the COVID-19 pandemic: a call for action for mental health science.","The coronavirus disease 2019 (COVID-19) pandemic is having a profound effect on all aspects of society, including mental health and physical health. We explore the psychological, social, and neuroscientific effects of COVID-19 and set out the immediate priorities and longer-term strategies for mental health science research. These priorities were informed by surveys of the public and an expert panel convened by the UK Academy of Medical Sciences and the mental health research charity, MQ: Transf","Holmes, O'Connor, Perry, Tracey, Wessely, Arseneault, Ballard, Christensen, Cohen Silver, Everall, Ford, John, Kabir, King, Madan, Michie, Przybylski, Shafran, Sweeney, Worthman, Yardley, Cowan, Cope, Hotopf, Bullmore","https://doi.org/10.1016/S2215-0366(20)30168-1","20200418","","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-20","",390,""
"Addressing mental health care for bereavements during COVID-19 pandemic.","","Sun, Bao, Lu","https://doi.org/10.1111/pcn.13008","20200417","","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-20","",391,""
"COVID-19 Pandemic and Impending Global Mental Health Implications.","The increase in organisms transference and infectious pandemics across the globe have been accelerated by an increase in travel, international exchange and global changes in earth's climate. COVID-19, a virus caused by the novel coronavirus that was initially identified on December 2019, in Wuhan city of China is currently affecting 146 territories, states and countries raising distress, panic and increasing anxiety in individuals exposed to the (actual or supposed) peril of the virus across the","Shuja, Aqeel, Jaffar, Ahmed","https://doi.org/10.24869/psyd.2020.32","20200417","","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-20","",392,""
"Impact of Human Disasters and COVID-19 Pandemic on Mental Health: Potential of Digital Psychiatry.","Deep emotional traumas in societies overwhelmed by large-scale human disasters, like, global pandemic diseases, natural disasters, man-made tragedies, war conflicts, social crises, etc., can cause massive stress-related disorders. Motivated by the ongoing global coronavirus pandemic, the article provides an overview of scientific evidence regarding adverse impact of diverse human disasters on mental health in afflicted groups and societies. Following this broader context, psychosocial impact of ","Ä†osiÄ‡, PopoviÄ‡, Å arlija, KesedÅ¾iÄ‡","https://doi.org/10.24869/psyd.2020.25","20200417","","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-20","",393,""
"The Importance of Psychodynamic Approach during COVID-19 Pandemic.","The coronavirus (COVID-19) outbreak was labeled a global pandemic by the WHO in March of 2020. Understanding how crisis influence an individual's reactions to stressful events (and vice versa) is important in order to create meaningful and effective interventions. Our literature search have revealed lack of the papers related to psychodynamic approach to recent crisis. Psychodynamic places a large emphasis on defense mechanisms and unconscious mind, where upsetting feelings, urges, and thoughts ","MarÄinko, JakovljeviÄ‡, JakÅ¡iÄ‡, Bjedov, MindoljeviÄ‡ DrakuliÄ‡","https://doi.org/10.24869/psyd.2020.15","20200417","","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-20","",394,""
"COVID-19 Pandemia and Public and Global Mental Health from the Perspective of Global Health Securit.","The Coronavirus disease 2019 (COVID-19) pandemic emerged in Wuhan, China and has spread all over the world and has caused huge threats to health and lives. It has affected different frontiers of lives and induced many psychiatric individual and collective problems such as panic, anxiety, depression, post-traumatic stress disorders, suspiciousness, infodemia, cacophony, xenophobia, racisms, etc. The COVID-19 outbreak has induced public and global mental health crisis as well as a huge psycho-soci","Jakovljevic, Bjedov, Jaksic, Jakovljevic","https://doi.org/10.24869/psyd.2020.6","20200417","","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-20","",395,""
"COVID-19 Crisis as a Collective Hero's Journey to Better Public and Global Mental Health.","","Jakovljevic","https://doi.org/10.24869/psyd.2020.3","20200417","","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-20","",396,""
"Health Communication Through News Media During the Early Stage of the COVID-19 Outbreak in China: A Digital Topic Modeling Approach.","In December 2019, a few COVID-19 cases were first reported in Wuhan, Hubei, China. Soon after, increasing cases were detected in other parts of China and soon the disease broke out in China. As this dreadful disease spreads rapidly, the mass media has been active in community education on COVID-19 by delivering health information about this novel coronavirus, such as its pathogenesis, spread, and prevention/containment. This study collected media reports on COVID-19 and investigated the patterns","Liu, Zheng, Zheng, Chen, Liu, Chen, Chu, Zhu, Akinwunmi, Huang, Zhang, Ming","https://doi.org/10.2196/19118","20200417","","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-20","",397,""
"COVID 19: Impact of lock-down on mental health and tips to overcome.","","Hiremath, Suhas Kowshik, Manjunath, Shettar","https://doi.org/10.1016/j.ajp.2020.102088","20200419","Anxiety; COVID 19; Lock-down; Mental health","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-20","",398,""
"Dealing with Corona virus anxiety and OCD.","The world is reeling under the crisis caused by corona virus disease (COVID-19), print, electronic and social media are flooded with numerous advisories issued by governments and other national &amp; international agencies. While all this is being done with best of intentions so as to contain the spread of this viral disease, this is causing a significant negative impact on mental health of people specially person of obsessive-compulsive disorder with fear of contamination and excessive washing ","Kumar, Somani","https://doi.org/10.1016/j.ajp.2020.102053","20200419","Anxiety disorders; Corona virus; OCD","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-20","",399,""
"COVID-19 and mental health: A review of the existing literature.","The COVID-19 pandemic is a major health crisis affecting several nations, with over 720,000 cases and 33,000 confirmed deaths reported to date. Such widespread outbreaks are associated with adverse mental health consequences. Keeping this in mind, existing literature on the COVID-19 outbreak pertinent to mental health was retrieved via a literature search of the PubMed database. Published articles were classified according to their overall themes and summarized. Preliminary evidence suggests tha","Rajkumar","https://doi.org/10.1016/j.ajp.2020.102066","20200419","Anxiety; COVID-19; Depression; Public health; Stress","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-20","",400,""
"Impact Of Sars-Cov-2 And Its Reverberation In Global Higher Education And Mental Health.","According to UNESCO's monitoring, more than 160 countries implemented nationwide closures, which impacted over 87% of the world's student population. Several other countries implemented localized school closures; should these closures become nationwide, millions of additional learners will experience education disruption. Universities from around the world have been uncertain about how long the coronavirus crisis will last and how it might affect the mental health of students and faculty. The ps","AraÃºjo, de Lima, Cidade, Nobre, Neto","https://doi.org/10.1016/j.psychres.2020.112977","20200419","COVID-19; Education; Mental Health","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-20","",401,""
"When health professionals look death in the eye: the mental health of professionals who deal daily with the 2019 coronavirus outbreak.","The fact that COVID-19 is transmissible from human to human and associated with high morbidity and potentially fatality can intensify the perception of personal danger. In addition, the foreseeable shortage of supplies and an increasing flow of suspected and real cases of COVID-19 contribute to the pressures and concerns of health professionals. The studies were identified in well-known international journals found in two electronic databases: Scopus and Embase. The data were cross-checked with ","Neto, Almeida, Esmeraldo, Nobre, Pinheiro, de Oliveira, Sousa, Lima, Lima, Moreira, Lima, JÃºnior, da Silva","https://doi.org/10.1016/j.psychres.2020.112972","20200419","COVID-19; Health professionals; Psychic exhaustion","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-20","",402,""
